datetime,raw,interp_time,interp_time_ffill_bfill
2024-09-07 11:00:00,37.0,37.0,37.0
2024-09-07 12:00:00,36.1,36.1,36.1
2024-09-07 13:00:00,31.2,31.2,31.2
2024-09-07 14:00:00,29.0,29.0,29.0
2024-09-07 15:00:00,24.0,24.0,24.0
2024-09-07 16:00:00,20.1,20.1,20.1
2024-09-07 17:00:00,20.1,20.1,20.1
2024-09-07 18:00:00,21.3,21.3,21.3
2024-09-07 19:00:00,22.8,22.8,22.8
2024-09-07 20:00:00,28.1,28.1,28.1
2024-09-07 21:00:00,34.2,34.2,34.2
2024-09-07 22:00:00,42.6,42.6,42.6
2024-09-07 23:00:00,42.0,42.0,42.0
2024-09-08 00:00:00,44.2,44.2,44.2
2024-09-08 01:00:00,51.3,51.3,51.3
2024-09-08 02:00:00,54.1,54.1,54.1
2024-09-08 03:00:00,57.2,57.2,57.2
2024-09-08 04:00:00,58.3,58.3,58.3
2024-09-08 05:00:00,59.9,59.9,59.9
2024-09-08 06:00:00,66.974,66.974,66.974
2024-09-08 07:00:00,74.0,74.0,74.0
2024-09-08 08:00:00,89.2,89.2,89.2
2024-09-08 09:00:00,94.9,94.9,94.9
2024-09-08 10:00:00,72.8,72.8,72.8
2024-09-08 11:00:00,52.6,52.6,52.6
2024-09-08 12:00:00,34.0,34.0,34.0
2024-09-08 13:00:00,29.7,29.7,29.7
2024-09-08 14:00:00,28.8,28.8,28.8
2024-09-08 15:00:00,27.5,27.5,27.5
2024-09-08 16:00:00,24.4,24.4,24.4
2024-09-08 17:00:00,26.5,26.5,26.5
2024-09-08 18:00:00,28.2,28.2,28.2
2024-09-08 19:00:00,35.0,35.0,35.0
2024-09-08 20:00:00,48.1,48.1,48.1
2024-09-08 21:00:00,63.7,63.7,63.7
2024-09-08 22:00:00,,74.3,74.3
2024-09-08 23:00:00,,84.9,84.9
2024-09-09 00:00:00,95.5,95.5,95.5
2024-09-09 01:00:00,51.3,51.3,51.3
2024-09-09 02:00:00,54.1,54.1,54.1
2024-09-09 03:00:00,57.2,57.2,57.2
2024-09-09 04:00:00,58.3,58.3,58.3
2024-09-09 05:00:00,59.9,59.9,59.9
2024-09-09 06:00:00,66.9,66.9,66.9
2024-09-09 07:00:00,74.0,74.0,74.0
2024-09-09 08:00:00,89.2,89.2,89.2
2024-09-09 09:00:00,94.9,94.9,94.9
2024-09-09 10:00:00,72.8,72.8,72.8
2024-09-09 11:00:00,52.6,52.6,52.6
2024-09-09 12:00:00,34.0,34.0,34.0
2024-09-09 13:00:00,27.8,27.8,27.8
2024-09-09 14:00:00,24.4,24.4,24.4
2024-09-09 15:00:00,23.0,23.0,23.0
2024-09-09 16:00:00,26.2,26.2,26.2
2024-09-09 17:00:00,23.6,23.6,23.6
2024-09-09 18:00:00,24.8,24.8,24.8
2024-09-09 19:00:00,24.7,24.7,24.7
2024-09-09 20:00:00,25.9,25.9,25.9
2024-09-09 21:00:00,27.4,27.4,27.4
2024-09-09 22:00:00,26.6,26.6,26.6
2024-09-09 23:00:00,29.8,29.8,29.8
2024-09-10 00:00:00,27.4,27.4,27.4
2024-09-10 01:00:00,30.2,30.2,30.2
2024-09-10 02:00:00,32.7,32.7,32.7
2024-09-10 03:00:00,38.6,38.6,38.6
2024-09-10 04:00:00,34.9,34.9,34.9
2024-09-10 05:00:00,38.2,38.2,38.2
2024-09-10 06:00:00,33.4,33.4,33.4
2024-09-10 07:00:00,28.2,28.2,28.2
2024-09-10 08:00:00,39.3,39.3,39.3
2024-09-10 09:00:00,54.9,54.9,54.9
2024-09-10 10:00:00,56.5,56.5,56.5
2024-09-10 11:00:00,61.2,61.2,61.2
2024-09-10 12:00:00,51.6,51.6,51.6
2024-09-10 13:00:00,39.4,39.4,39.4
2024-09-10 14:00:00,47.4,47.4,47.4
2024-09-10 15:00:00,40.7,40.7,40.7
2024-09-10 16:00:00,31.7,31.7,31.7
2024-09-10 17:00:00,33.4,33.4,33.4
2024-09-10 18:00:00,34.5,34.5,34.5
2024-09-10 19:00:00,44.7,44.7,44.7
2024-09-10 20:00:00,47.4,47.4,47.4
2024-09-10 21:00:00,60.0,60.0,60.0
2024-09-10 22:00:00,60.3,60.3,60.3
2024-09-10 23:00:00,40.9,40.9,40.9
2024-09-11 00:00:00,34.2,34.2,34.2
2024-09-11 01:00:00,34.0,34.0,34.0
2024-09-11 02:00:00,30.1,30.1,30.1
2024-09-11 03:00:00,13.5,13.5,13.5
2024-09-11 04:00:00,14.0,14.0,14.0
2024-09-11 05:00:00,17.9,17.9,17.9
2024-09-11 06:00:00,23.0,23.0,23.0
2024-09-11 07:00:00,20.2,20.2,20.2
2024-09-11 08:00:00,36.9,36.9,36.9
2024-09-11 09:00:00,76.5,76.5,76.5
2024-09-11 10:00:00,55.9,55.9,55.9
2024-09-11 11:00:00,50.4,50.4,50.4
2024-09-11 12:00:00,32.6,32.6,32.6
2024-09-11 13:00:00,29.0,29.0,29.0
2024-09-11 14:00:00,27.6,27.6,27.6
2024-09-11 15:00:00,25.0,25.0,25.0
2024-09-11 16:00:00,15.9,15.9,15.9
2024-09-11 17:00:00,20.8,20.8,20.8
2024-09-11 18:00:00,42.0,42.0,42.0
2024-09-11 19:00:00,36.6,36.6,36.6
2024-09-11 20:00:00,41.8,41.8,41.8
2024-09-11 21:00:00,37.9,37.9,37.9
2024-09-11 22:00:00,44.1,44.1,44.1
2024-09-11 23:00:00,56.3,56.3,56.3
2024-09-12 00:00:00,65.4,65.4,65.4
2024-09-12 01:00:00,46.6,46.6,46.6
2024-09-12 02:00:00,53.0,53.0,53.0
2024-09-12 03:00:00,42.1,42.1,42.1
2024-09-12 04:00:00,31.8,31.8,31.8
2024-09-12 05:00:00,26.5,26.5,26.5
2024-09-12 06:00:00,24.9,24.9,24.9
2024-09-12 07:00:00,25.2,25.2,25.2
2024-09-12 08:00:00,31.3,31.3,31.3
2024-09-12 09:00:00,42.4,42.4,42.4
2024-09-12 10:00:00,55.6,55.6,55.6
2024-09-12 11:00:00,45.6,45.6,45.6
2024-09-12 12:00:00,27.0,27.0,27.0
2024-09-12 13:00:00,,24.725,24.725
2024-09-12 14:00:00,,22.45,22.45
2024-09-12 15:00:00,,20.174999999999997,20.174999999999997
2024-09-12 16:00:00,17.9,17.9,17.9
2024-09-12 17:00:00,18.5,18.5,18.5
2024-09-12 18:00:00,20.7,20.7,20.7
2024-09-12 19:00:00,26.4,26.4,26.4
2024-09-12 20:00:00,37.8,37.8,37.8
2024-09-12 21:00:00,37.3,37.3,37.3
2024-09-12 22:00:00,46.7,46.7,46.7
2024-09-12 23:00:00,48.6,48.6,48.6
2024-09-13 00:00:00,45.0,45.0,45.0
2024-09-13 01:00:00,55.1,55.1,55.1
2024-09-13 02:00:00,69.8,69.8,69.8
2024-09-13 03:00:00,75.7,75.7,75.7
2024-09-13 04:00:00,77.9,77.9,77.9
2024-09-13 05:00:00,57.9,57.9,57.9
2024-09-13 06:00:00,46.5,46.5,46.5
2024-09-13 07:00:00,64.5,64.5,64.5
2024-09-13 08:00:00,75.7,75.7,75.7
2024-09-13 09:00:00,64.1,64.1,64.1
2024-09-13 10:00:00,56.7,56.7,56.7
2024-09-13 11:00:00,49.3,49.3,49.3
2024-09-13 12:00:00,52.1,52.1,52.1
2024-09-13 13:00:00,40.0,40.0,40.0
2024-09-13 14:00:00,34.0,34.0,34.0
2024-09-13 15:00:00,29.6,29.6,29.6
2024-09-13 16:00:00,27.1,27.1,27.1
2024-09-13 17:00:00,28.4,28.4,28.4
2024-09-13 18:00:00,24.4,24.4,24.4
2024-09-13 19:00:00,28.2,28.2,28.2
2024-09-13 20:00:00,33.0,33.0,33.0
2024-09-13 21:00:00,44.8,44.8,44.8
2024-09-13 22:00:00,53.3,53.3,53.3
2024-09-13 23:00:00,40.6,40.6,40.6
2024-09-14 00:00:00,37.9,37.9,37.9
2024-09-14 01:00:00,36.7,36.7,36.7
2024-09-14 02:00:00,36.7,36.7,36.7
2024-09-14 03:00:00,28.3,28.3,28.3
2024-09-14 04:00:00,28.3,28.3,28.3
2024-09-14 05:00:00,28.3,28.3,28.3
2024-09-14 06:00:00,31.1,31.1,31.1
2024-09-14 07:00:00,32.1,32.1,32.1
2024-09-14 08:00:00,35.1,35.1,35.1
2024-09-14 09:00:00,40.0,40.0,40.0
2024-09-14 10:00:00,32.7,32.7,32.7
2024-09-14 11:00:00,29.7,29.7,29.7
2024-09-14 12:00:00,30.1,30.1,30.1
2024-09-14 13:00:00,28.8,28.8,28.8
2024-09-14 14:00:00,28.6,28.6,28.6
2024-09-14 15:00:00,27.8,27.8,27.8
2024-09-14 16:00:00,26.6,26.6,26.6
2024-09-14 17:00:00,28.2,28.2,28.2
2024-09-14 18:00:00,27.2,27.2,27.2
2024-09-14 19:00:00,32.9,32.9,32.9
2024-09-14 20:00:00,35.8,35.8,35.8
2024-09-14 21:00:00,43.1,43.1,43.1
2024-09-14 22:00:00,48.6,48.6,48.6
2024-09-14 23:00:00,56.8,56.8,56.8
2024-09-15 00:00:00,38.0,38.0,38.0
2024-09-15 01:00:00,29.4,29.4,29.4
2024-09-15 02:00:00,24.5,24.5,24.5
2024-09-15 03:00:00,19.2,19.2,19.2
2024-09-15 04:00:00,16.3,16.3,16.3
2024-09-15 05:00:00,13.4,13.4,13.4
2024-09-15 06:00:00,17.1,17.1,17.1
2024-09-15 07:00:00,18.3,18.3,18.3
2024-09-15 08:00:00,18.7,18.7,18.7
2024-09-15 09:00:00,18.7,18.7,18.7
2024-09-15 10:00:00,18.5,18.5,18.5
2024-09-15 11:00:00,19.5,19.5,19.5
2024-09-15 12:00:00,21.7,21.7,21.7
2024-09-15 13:00:00,22.8,22.8,22.8
2024-09-15 14:00:00,24.3,24.3,24.3
2024-09-15 15:00:00,26.6,26.6,26.6
2024-09-15 16:00:00,26.2,26.2,26.2
2024-09-15 17:00:00,25.3,25.3,25.3
2024-09-15 18:00:00,23.9,23.9,23.9
2024-09-15 19:00:00,23.7,23.7,23.7
2024-09-15 20:00:00,25.2,25.2,25.2
2024-09-15 21:00:00,25.9,25.9,25.9
2024-09-15 22:00:00,25.1,25.1,25.1
2024-09-15 23:00:00,24.8,24.8,24.8
2024-09-16 00:00:00,26.5,26.5,26.5
2024-09-16 01:00:00,25.5,25.5,25.5
2024-09-16 02:00:00,24.2,24.2,24.2
2024-09-16 03:00:00,23.6,23.6,23.6
2024-09-16 04:00:00,21.3,21.3,21.3
2024-09-16 05:00:00,19.6,19.6,19.6
2024-09-16 06:00:00,17.9,17.9,17.9
2024-09-16 07:00:00,14.1,14.1,14.1
2024-09-16 08:00:00,14.7,14.7,14.7
2024-09-16 09:00:00,14.5,14.5,14.5
2024-09-16 10:00:00,15.8,15.8,15.8
2024-09-16 11:00:00,20.0,20.0,20.0
2024-09-16 12:00:00,22.1,22.1,22.1
2024-09-16 13:00:00,24.2,24.2,24.2
2024-09-16 14:00:00,22.0,22.0,22.0
2024-09-16 15:00:00,19.9,19.9,19.9
2024-09-16 16:00:00,18.4,18.4,18.4
2024-09-16 17:00:00,20.5,20.5,20.5
2024-09-16 18:00:00,22.5,22.5,22.5
2024-09-16 19:00:00,29.8,29.8,29.8
2024-09-16 20:00:00,30.2,30.2,30.2
2024-09-16 21:00:00,31.3,31.3,31.3
2024-09-16 22:00:00,34.4,34.4,34.4
2024-09-16 23:00:00,33.2,33.2,33.2
2024-09-17 00:00:00,31.4,31.4,31.4
2024-09-17 01:00:00,28.0,28.0,28.0
2024-09-17 02:00:00,26.5,26.5,26.5
2024-09-17 03:00:00,29.0,29.0,29.0
2024-09-17 04:00:00,27.5,27.5,27.5
2024-09-17 05:00:00,20.8,20.8,20.8
2024-09-17 06:00:00,15.6,15.6,15.6
2024-09-17 07:00:00,16.0,16.0,16.0
2024-09-17 08:00:00,22.5,22.5,22.5
2024-09-17 09:00:00,35.9,35.9,35.9
2024-09-17 10:00:00,38.9,38.9,38.9
2024-09-17 11:00:00,27.3,27.3,27.3
2024-09-17 12:00:00,23.1,23.1,23.1
2024-09-17 13:00:00,18.7,18.7,18.7
2024-09-17 14:00:00,24.1,24.1,24.1
2024-09-17 15:00:00,26.3,26.3,26.3
2024-09-17 16:00:00,25.3,25.3,25.3
2024-09-17 17:00:00,24.9,24.9,24.9
2024-09-17 18:00:00,27.6,27.6,27.6
2024-09-17 19:00:00,33.5,33.5,33.5
2024-09-17 20:00:00,29.8,29.8,29.8
2024-09-17 21:00:00,31.8,31.8,31.8
2024-09-17 22:00:00,37.7,37.7,37.7
2024-09-17 23:00:00,98.0,98.0,98.0
2024-09-18 00:00:00,111.8,111.8,111.8
2024-09-18 01:00:00,77.2,77.2,77.2
2024-09-18 02:00:00,76.7,76.7,76.7
2024-09-18 03:00:00,58.4,58.4,58.4
2024-09-18 04:00:00,23.6,23.6,23.6
